raceId,driverId,year,qualifying_position,positionOrder,championship_position,podium_finish,starting_grid_diff
1053,20,2021,13,15,17,0,-2
1053,854,2021,18,16,18,0,2
1053,853,2021,19,17,19,0,2
1053,822,2021,8,18,5,0,-10
1053,847,2021,12,19,16,0,-7
1053,849,2021,14,20,20,0,-6
1054,1,2021,2,1,1,1,1
1054,830,2021,3,2,2,1,1
1054,822,2021,1,3,4,1,-2
1054,815,2021,4,4,6,0,0
1054,846,2021,7,5,3,0,2
1054,844,2021,8,6,5,0,2
1054,839,2021,6,7,9,0,-1
1054,4,2021,13,8,12,0,5
1054,817,2021,16,9,7,0,7
1054,842,2021,9,10,10,0,-1
1054,832,2021,5,11,8,0,-6
1054,841,2021,12,12,15,0,0
1054,20,2021,10,13,16,0,-3
1054,840,2021,17,14,11,0,3
1054,852,2021,14,15,13,0,-1
1054,847,2021,11,16,17,0,-5
1054,854,2021,19,17,18,0,2
1054,849,2021,18,18,20,0,0
1054,853,2021,20,19,19,0,1
1054,8,2021,15,20,14,0,-5
1055,1,2021,1,1,1,1,0
1055,830,2021,2,2,2,1,0
1055,822,2021,3,3,3,1,0
1055,844,2021,4,4,5,0,0
1055,815,2021,8,5,6,0,3
1055,817,2021,7,6,7,0,1
1055,832,2021,6,7,8,0,-1
1055,846,2021,9,8,4,0,1
1055,839,2021,5,9,9,0,-4
1055,842,2021,12,10,10,0,2
1055,840,2021,11,11,11,0,0
1055,8,2021,17,12,14,0,5
1055,20,2021,13,13,16,0,0
1055,847,2021,15,14,17,0,1
1055,841,2021,14,15,15,0,-1
1055,849,2021,19,16,19,0,3
1055,4,2021,10,17,12,0,-7
1055,854,2021,18,18,18,0,0
1055,853,2021,20,19,20,0,1
1055,852,2021,16,20,13,0,-4
1056,832,2021,4,2,7,1,2
1056,830,2021,2,1,1,1,1
1056,846,2021,5,3,3,1,2
1056,815,2021,9,4,5,0,5
1056,20,2021,8,5,11,0,3
1056,842,2021,6,6,9,0,0
1056,1,2021,7,7,2,0,0
1056,840,2021,13,8,12,0,5
1056,839,2021,11,9,10,0,2
1056,841,2021,10,10,15,0,0
1056,8,2021,14,11,16,0,3
1056,817,2021,12,12,8,0,0
1056,4,2021,17,13,13,0,4
1056,847,2021,15,14,17,0,1
1056,849,2021,18,15,18,0,3
1056,852,2021,16,16,14,0,0
1056,853,2021,19,17,20,0,2
1056,822,2021,3,19,4,0,-16
1056,844,2021,1,20,6,0,-19
1057,815,2021,7,1,3,1,6
1057,20,2021,11,2,9,1,9
1057,842,2021,4,3,8,1,1
1057,844,2021,1,4,5,0,-3
1057,846,2021,6,5,4,0,1
1057,4,2021,9,6,11,0,3
1057,852,2021,8,7,14,0,1
1057,832,2021,5,8,7,0,-3
1057,817,2021,13,9,10,0,4
1057,8,2021,14,10,15,0,4
1057,841,2021,20,11,16,0,9
1057,822,2021,10,12,6,0,-2
1057,854,2021,17,13,17,0,4
1057,853,2021,18,14,19,0,4
1057,1,2021,2,15,2,0,-13
1057,849,2021,16,16,20,0,0
1057,847,2021,15,17,18,0,-2
1057,830,2021,3,18,1,0,-15
1057,840,2021,19,19,13,0,0
1057,839,2021,12,20,12,0,-8
1059,830,2021,1,1,1,1,0
1059,1,2021,2,2,2,1,0
1059,815,2021,4,3,3,1,1
1059,822,2021,3,4,5,0,-1
1059,846,2021,8,5,4,0,3
1059,817,2021,10,6,9,0,4
1059,842,2021,6,7,8,0,-1
1059,4,2021,9,8,11,0,1
1059,20,2021,12,9,10,0,3
1059,840,2021,19,10,13,0,9
1059,832,2021,5,11,7,0,-6
1059,847,2021,14,12,17,0,2
1059,852,2021,20,13,14,0,7
1059,839,2021,11,14,12,0,-3
1059,841,2021,13,15,16,0,-2
1059,844,2021,7,16,6,0,-9
1059,8,2021,17,17,15,0,0
1059,849,2021,16,18,20,0,-2
1059,854,2021,15,19,18,0,-4
1059,853,2021,18,20,19,0,-2
1058,830,2021,1,1,1,1,0
1058,1,2021,3,2,2,1,1
1058,822,2021,2,3,5,1,-1
1058,815,2021,5,4,3,0,1
1058,846,2021,4,5,4,0,-1
1058,832,2021,12,6,7,0,6
1058,844,2021,7,7,6,0,0
1058,840,2021,10,8,12,0,2
1058,4,2021,9,9,11,0,0
1058,852,2021,8,10,14,0,-2
1058,8,2021,18,11,15,0,7
1058,20,2021,14,12,10,0,2
1058,817,2021,13,13,9,0,0
1058,839,2021,17,14,13,0,3
1058,841,2021,15,15,16,0,0
1058,854,2021,19,16,18,0,3
1058,849,2021,16,17,20,0,-1
1058,853,2021,20,18,19,0,2
1058,847,2021,11,19,17,0,-8
1058,842,2021,6,20,8,0,-14
1060,830,2021,1,1,1,1,0
1060,822,2021,5,2,5,1,3
1060,846,2021,2,3,4,1,-1
1060,1,2021,4,4,2,0,0
1060,832,2021,11,5,7,0,6
1060,815,2021,3,6,3,0,-3
1060,817,2021,13,7,8,0,6
1060,844,2021,12,8,6,0,4
1060,842,2021,6,9,9,0,-3
1060,4,2021,14,10,11,0,4
1060,847,2021,9,11,17,0,-2
1060,852,2021,7,12,14,0,-5
1060,840,2021,10,13,12,0,-3
1060,841,2021,15,14,16,0,1
1060,8,2021,16,15,15,0,1
1060,849,2021,18,16,20,0,2
1060,20,2021,8,17,10,0,-9
1060,854,2021,19,18,18,0,1
1060,853,2021,20,19,19,0,1
1060,839,2021,17,20,13,0,-3
1061,1,2021,1,1,2,1,0
1061,844,2021,4,2,6,1,2
1061,822,2021,3,3,4,1,0
1061,846,2021,6,4,3,0,2
1061,817,2021,7,5,8,0,2
1061,832,2021,9,6,7,0,3
1061,4,2021,11,7,11,0,4
1061,840,2021,15,8,12,0,7
1061,839,2021,13,9,13,0,4
1061,852,2021,16,10,14,0,6
1061,842,2021,12,11,9,0,1
1061,847,2021,8,12,17,0,-4
1061,841,2021,14,13,16,0,1
1061,849,2021,18,14,19,0,4
1061,8,2021,17,15,15,0,2
1061,815,2021,5,16,5,0,-11
1061,853,2021,20,17,20,0,3
1061,854,2021,19,18,18,0,1
1061,20,2021,10,19,10,0,-9
1061,830,2021,2,20,1,0,-18
1062,839,2021,8,1,10,1,7
1062,1,2021,1,2,1,1,-1
1062,832,2021,15,3,6,1,12
1062,4,2021,9,4,11,0,5
1062,842,2021,5,5,8,0,0
1062,852,2021,16,6,13,0,10
1062,849,2021,18,7,15,0,11
1062,847,2021,17,8,16,0,9
1062,830,2021,3,9,2,0,-6
1062,8,2021,13,10,17,0,3
1062,817,2021,11,11,9,0,0
1062,854,2021,20,12,19,0,8
1062,841,2021,14,13,18,0,1
1062,853,2021,19,14,20,0,5
1062,846,2021,6,15,3,0,-9
1062,822,2021,2,16,4,0,-14
1062,815,2021,4,17,5,0,-13
1062,844,2021,7,18,7,0,-11
1062,840,2021,12,19,14,0,-7
1062,20,2021,10,20,12,0,-10
1063,830,2021,1,1,2,1,0
1063,847,2021,2,2,15,1,0
1063,1,2021,3,3,1,1,0
1063,817,2021,4,4,8,0,0
1063,20,2021,5,5,12,0,0
1063,842,2021,6,6,9,0,0
1063,839,2021,9,7,10,0,2
1063,844,2021,11,8,7,0,3
1063,849,2021,12,9,16,0,3
1063,832,2021,13,10,6,0,3
1063,4,2021,14,11,11,0,3
1063,822,2021,8,12,4,0,-4
1063,841,2021,16,13,18,0,3
1063,846,2021,10,14,3,0,-4
1063,852,2021,17,15,13,0,2
1063,854,2021,18,16,19,0,2
1063,853,2021,20,17,20,0,3
1063,8,2021,19,18,17,0,1
1063,815,2021,7,19,5,0,-12
1063,840,2021,15,20,14,0,-5
1064,830,2021,1,1,1,1,0
1064,1,2021,2,2,2,1,0
1064,822,2021,3,3,3,1,0
1064,842,2021,4,4,8,0,0
1064,844,2021,5,5,6,0,0
1064,4,2021,9,6,10,0,3
1064,832,2021,6,7,7,0,-1
1064,815,2021,16,8,5,0,8
1064,839,2021,8,9,11,0,-1
1064,846,2021,13,10,4,0,3
1064,817,2021,10,11,9,0,-1
1064,840,2021,12,12,14,0,0
1064,20,2021,17,13,12,0,4
1064,841,2021,7,14,18,0,-7
1064,9,2021,18,15,21,0,3
1064,849,2021,14,16,16,0,-2
1064,847,2021,11,17,15,0,-6
1064,854,2021,19,18,19,0,1
1064,852,2021,15,19,13,0,-4
1064,853,2021,20,20,20,0,0
1065,817,2021,5,1,8,1,4
1065,846,2021,4,2,4,1,2
1065,822,2021,1,3,3,1,-2
1065,844,2021,8,4,6,0,4
1065,815,2021,9,5,5,0,4
1065,832,2021,7,6,7,0,1
1065,840,2021,12,7,13,0,5
1065,4,2021,13,8,10,0,5
1065,847,2021,15,9,15,0,6
1065,839,2021,14,10,11,0,4
1065,849,2021,16,11,16,0,5
1065,20,2021,11,12,12,0,-1
1065,841,2021,10,13,18,0,-3
1065,9,2021,19,14,20,0,5
1065,854,2021,18,15,19,0,3
1065,853,2021,20,16,21,0,4
1065,1,2021,2,17,2,0,-15
1065,830,2021,3,18,1,0,-15
1065,842,2021,6,19,9,0,-13
1065,852,2021,17,20,14,0,-3
1066,1,2021,4,1,1,1,3
1066,830,2021,20,2,2,1,18
1066,832,2021,2,3,6,1,-1
1066,817,2021,5,4,8,0,1
1066,822,2021,7,5,3,0,2
1066,4,2021,6,6,10,0,0
1066,846,2021,1,7,4,0,-6
1066,8,2021,16,8,17,0,8
1066,815,2021,9,9,5,0,0
1066,847,2021,3,10,15,0,-7
1066,840,2021,8,11,13,0,-3
1066,20,2021,11,12,12,0,-1
1066,842,2021,12,13,9,0,-1
1066,839,2021,10,14,11,0,-4
1066,844,2021,15,15,7,0,0
1066,841,2021,18,16,18,0,2
1066,852,2021,13,17,14,0,-4
1066,853,2021,19,18,21,0,1
1066,849,2021,14,19,16,0,-5
1066,854,2021,17,20,19,0,-3
1067,822,2021,2,1,3,1,1
1067,830,2021,3,2,1,1,1
1067,815,2021,7,3,5,1,4
1067,844,2021,4,4,7,0,0
1067,1,2021,1,5,2,0,-4
1067,842,2021,5,6,9,0,-1
1067,846,2021,8,7,4,0,1
1067,832,2021,15,8,6,0,7
1067,840,2021,9,9,13,0,0
1067,839,2021,12,10,11,0,2
1067,841,2021,18,11,18,0,7
1067,8,2021,19,12,17,0,7
1067,817,2021,16,13,8,0,3
1067,852,2021,10,14,14,0,-4
1067,847,2021,13,15,15,0,-2
1067,4,2021,6,16,10,0,-10
1067,849,2021,17,17,16,0,0
1067,20,2021,11,18,12,0,-7
1067,854,2021,14,19,19,0,-5
1067,853,2021,20,20,21,0,0
1069,830,2021,1,1,1,1,0
1069,1,2021,2,2,2,1,0
1069,815,2021,3,3,4,1,0
1069,844,2021,5,4,6,0,1
1069,817,2021,7,5,8,0,2
1069,822,2021,4,6,3,0,-2
1069,832,2021,6,7,7,0,-1
1069,846,2021,8,8,5,0,0
1069,852,2021,10,9,14,0,1
1069,20,2021,12,10,12,0,2
1069,841,2021,13,11,18,0,2
1069,840,2021,16,12,13,0,4
1069,8,2021,18,13,17,0,5
1069,847,2021,15,14,15,0,1
1069,849,2021,17,15,16,0,2
1069,854,2021,19,16,19,0,3
1069,853,2021,20,17,21,0,3
1069,4,2021,14,18,10,0,-4
1069,839,2021,11,19,11,0,-8
1069,842,2021,9,20,9,0,-11
1070,830,2021,3,1,1,1,2
1070,1,2021,2,2,2,1,0
1070,815,2021,4,3,4,1,1
1070,842,2021,5,4,9,0,1
1070,844,2021,8,5,6,0,3
1070,832,2021,6,6,7,0,0
1070,20,2021,11,7,12,0,4
1070,8,2021,12,8,16,0,4
1070,4,2021,16,9,10,0,7
1070,846,2021,10,10,5,0,0
1070,841,2021,14,11,18,0,3
1070,817,2021,7,12,8,0,-5
1070,839,2021,15,13,11,0,2
1070,840,2021,20,14,13,0,6
1070,822,2021,1,15,3,0,-14
1070,847,2021,13,16,15,0,-3
1070,849,2021,17,17,17,0,0
1070,853,2021,19,18,21,0,1
1070,854,2021,18,19,19,0,-1
1070,852,2021,9,20,14,0,-11
1071,1,2021,1,1,2,1,0
1071,830,2021,2,2,1,1,0
1071,822,2021,3,3,3,1,0
1071,815,2021,4,4,4,0,0
1071,844,2021,7,5,6,0,2
1071,832,2021,6,6,7,0,0
1071,842,2021,5,7,9,0,-2
1071,839,2021,11,8,11,0,3
1071,4,2021,10,9,10,0,1
1071,846,2021,8,10,5,0,-2
1071,20,2021,12,11,12,0,1
1071,8,2021,14,12,16,0,2
1071,847,2021,18,13,15,0,5
1071,841,2021,15,14,18,0,1
1071,852,2021,13,15,14,0,-2
1071,849,2021,17,16,17,0,1
1071,853,2021,20,17,21,0,3
1071,854,2021,19,18,19,0,1
1071,817,2021,9,19,8,0,-10
1071,840,2021,16,20,13,0,-4
1051,1,2021,1,1,2,1,0
1051,830,2021,2,2,1,1,0
1051,4,2021,5,3,10,1,2
1051,815,2021,11,4,4,0,7
1051,839,2021,9,5,11,0,4
1051,840,2021,12,6,13,0,6
1051,832,2021,7,7,7,0,0
1051,844,2021,13,8,6,0,5
1051,846,2021,6,9,5,0,-3
1051,20,2021,10,10,12,0,0
1051,842,2021,4,11,9,0,-7
1051,817,2021,14,12,8,0,2
1051,852,2021,8,13,14,0,-5
1051,8,2021,16,14,16,0,2
1051,841,2021,18,15,18,0,3
1051,854,2021,19,16,19,0,3
1051,847,2021,15,17,15,0,-2
1051,853,2021,20,18,21,0,2
1051,849,2021,17,19,17,0,-2
1051,822,2021,3,20,3,0,-17
1072,1,2021,1,1,2,1,0
1072,830,2021,3,2,1,1,1
1072,822,2021,2,3,3,1,-1
1072,839,2021,9,4,11,0,5
1072,817,2021,11,5,8,0,6
1072,842,2021,6,6,9,0,0
1072,844,2021,4,7,5,0,-3
1072,832,2021,15,8,7,0,7
1072,841,2021,10,9,18,0,1
1072,846,2021,7,10,6,0,-3
1072,840,2021,18,11,13,0,7
1072,849,2021,16,12,17,0,4
1072,4,2021,13,13,10,0,0
1072,852,2021,8,14,14,0,-6
1072,8,2021,12,15,16,0,-3
