raceId,number,positionOrder,qualifying_position,podium_finish,year,name,forename,surname,driver_name,points,championship_position
1031,11,6,6,0,2020,Austrian Grand Prix,Sergio,Pérez,Sergio Pérez,0.0,15
1031,11,6,6,0,2020,Austrian Grand Prix,Sergio,Pérez,Sergio Pérez,0.0,13
1031,11,6,6,0,2020,Austrian Grand Prix,Sergio,Pérez,Sergio Pérez,0.0,11
1031,11,6,6,0,2020,Austrian Grand Prix,Sergio,Pérez,Sergio Pérez,1.0,10
1031,11,6,6,0,2020,Austrian Grand Prix,Sergio,Pérez,Sergio Pérez,2.0,9
1031,11,6,6,0,2020,Austrian Grand Prix,Sergio,Pérez,Sergio Pérez,4.0,8
1031,11,6,6,0,2020,Austrian Grand Prix,Sergio,Pérez,Sergio Pérez,6.0,7
1031,11,6,6,0,2020,Austrian Grand Prix,Sergio,Pérez,Sergio Pérez,8.0,6
1031,11,6,6,0,2020,Austrian Grand Prix,Sergio,Pérez,Sergio Pérez,10.0,5
1031,11,6,6,0,2020,Austrian Grand Prix,Sergio,Pérez,Sergio Pérez,12.0,4
1031,11,6,6,0,2020,Austrian Grand Prix,Sergio,Pérez,Sergio Pérez,16.0,3
1031,11,6,6,0,2020,Austrian Grand Prix,Sergio,Pérez,Sergio Pérez,18.0,2
1031,11,6,6,0,2020,Austrian Grand Prix,Sergio,Pérez,Sergio Pérez,25.0,1
1031,10,7,12,0,2020,Austrian Grand Prix,Kamui,Kobayashi,Kamui Kobayashi,0.0,20
1031,10,7,12,0,2020,Austrian Grand Prix,Kamui,Kobayashi,Kamui Kobayashi,0.0,18
1031,10,7,12,0,2020,Austrian Grand Prix,Kamui,Kobayashi,Kamui Kobayashi,0.0,16
1031,10,7,12,0,2020,Austrian Grand Prix,Kamui,Kobayashi,Kamui Kobayashi,0.0,14
1031,10,7,12,0,2020,Austrian Grand Prix,Kamui,Kobayashi,Kamui Kobayashi,0.0,12
1031,10,7,12,0,2020,Austrian Grand Prix,Kamui,Kobayashi,Kamui Kobayashi,0.0,19
1031,10,7,12,0,2020,Austrian Grand Prix,Kamui,Kobayashi,Kamui Kobayashi,0.0,17
1031,10,7,12,0,2020,Austrian Grand Prix,Kamui,Kobayashi,Kamui Kobayashi,0.0,15
1031,10,7,12,0,2020,Austrian Grand Prix,Kamui,Kobayashi,Kamui Kobayashi,0.0,13
1031,10,7,12,0,2020,Austrian Grand Prix,Kamui,Kobayashi,Kamui Kobayashi,0.0,11
1031,10,7,12,0,2020,Austrian Grand Prix,Kamui,Kobayashi,Kamui Kobayashi,1.0,10
1031,10,7,12,0,2020,Austrian Grand Prix,Kamui,Kobayashi,Kamui Kobayashi,2.0,9
1031,10,7,12,0,2020,Austrian Grand Prix,Kamui,Kobayashi,Kamui Kobayashi,4.0,8
1031,10,7,12,0,2020,Austrian Grand Prix,Kamui,Kobayashi,Kamui Kobayashi,6.0,7
1031,10,7,12,0,2020,Austrian Grand Prix,Kamui,Kobayashi,Kamui Kobayashi,8.0,6
1031,10,7,12,0,2020,Austrian Grand Prix,Kamui,Kobayashi,Kamui Kobayashi,10.0,5
1031,10,7,12,0,2020,Austrian Grand Prix,Kamui,Kobayashi,Kamui Kobayashi,12.0,4
1031,10,7,12,0,2020,Austrian Grand Prix,Kamui,Kobayashi,Kamui Kobayashi,16.0,3
1031,10,7,12,0,2020,Austrian Grand Prix,Kamui,Kobayashi,Kamui Kobayashi,18.0,2
1031,10,7,12,0,2020,Austrian Grand Prix,Kamui,Kobayashi,Kamui Kobayashi,25.0,1
1031,10,7,12,0,2020,Austrian Grand Prix,Pierre,Gasly,Pierre Gasly,0.0,20
1031,10,7,12,0,2020,Austrian Grand Prix,Pierre,Gasly,Pierre Gasly,0.0,18
1031,10,7,12,0,2020,Austrian Grand Prix,Pierre,Gasly,Pierre Gasly,0.0,16
1031,10,7,12,0,2020,Austrian Grand Prix,Pierre,Gasly,Pierre Gasly,0.0,14
1031,10,7,12,0,2020,Austrian Grand Prix,Pierre,Gasly,Pierre Gasly,0.0,12
1031,10,7,12,0,2020,Austrian Grand Prix,Pierre,Gasly,Pierre Gasly,0.0,19
1031,10,7,12,0,2020,Austrian Grand Prix,Pierre,Gasly,Pierre Gasly,0.0,17
1031,10,7,12,0,2020,Austrian Grand Prix,Pierre,Gasly,Pierre Gasly,0.0,15
1031,10,7,12,0,2020,Austrian Grand Prix,Pierre,Gasly,Pierre Gasly,0.0,13
1031,10,7,12,0,2020,Austrian Grand Prix,Pierre,Gasly,Pierre Gasly,0.0,11
1031,10,7,12,0,2020,Austrian Grand Prix,Pierre,Gasly,Pierre Gasly,1.0,10
1031,10,7,12,0,2020,Austrian Grand Prix,Pierre,Gasly,Pierre Gasly,2.0,9
1031,10,7,12,0,2020,Austrian Grand Prix,Pierre,Gasly,Pierre Gasly,4.0,8
1031,10,7,12,0,2020,Austrian Grand Prix,Pierre,Gasly,Pierre Gasly,6.0,7
1031,10,7,12,0,2020,Austrian Grand Prix,Pierre,Gasly,Pierre Gasly,8.0,6
1031,10,7,12,0,2020,Austrian Grand Prix,Pierre,Gasly,Pierre Gasly,10.0,5
